Folio,Sequence,RV,Label,DefaultImage
urn:cite:hmt:gen44.60v,120,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 60v",urn:cite:ecod:gen44.gen44_120
urn:cite:hmt:gen44.61r,121,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 61r",urn:cite:ecod:gen44.gen44_121
urn:cite:hmt:gen44.61v,122,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 61v",urn:cite:ecod:gen44.gen44_122
urn:cite:hmt:gen44.62r,123,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 62r",urn:cite:ecod:gen44.gen44_123
urn:cite:hmt:gen44.62v,124,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 62v",urn:cite:ecod:gen44.gen44_124
urn:cite:hmt:gen44.63r,125,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 63r",urn:cite:ecod:gen44.gen44_125
urn:cite:hmt:gen44.63v,126,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 63v",urn:cite:ecod:gen44.gen44_126
urn:cite:hmt:gen44.64r,127,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 64r",urn:cite:ecod:gen44.gen44_127
urn:cite:hmt:gen44.64v,128,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 64v",urn:cite:ecod:gen44.gen44_128
urn:cite:hmt:gen44.65r,129,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 65r",urn:cite:ecod:gen44.gen44_129
urn:cite:hmt:gen44.65v,130,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 65v",urn:cite:ecod:gen44.gen44_130
urn:cite:hmt:gen44.66r,131,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 66r",urn:cite:ecod:gen44.gen44_131
urn:cite:hmt:gen44.66v,132,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 66v",urn:cite:ecod:gen44.gen44_132
urn:cite:hmt:gen44.67r,133,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 67r",urn:cite:ecod:gen44.gen44_133
urn:cite:hmt:gen44.67v,134,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 67v",urn:cite:ecod:gen44.gen44_134
urn:cite:hmt:gen44.68r,135,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 68r",urn:cite:ecod:gen44.gen44_135
urn:cite:hmt:gen44.68v,136,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 68v",urn:cite:ecod:gen44.gen44_136
urn:cite:hmt:gen44.69r,137,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 69r",urn:cite:ecod:gen44.gen44_137
urn:cite:hmt:gen44.69v,138,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 69v",urn:cite:ecod:gen44.gen44_138
urn:cite:hmt:gen44.70r,139,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 70r",urn:cite:ecod:gen44.gen44_139
urn:cite:hmt:gen44.70v,140,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 70v",urn:cite:ecod:gen44.gen44_140
urn:cite:hmt:gen44.71r,141,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 71r",urn:cite:ecod:gen44.gen44_141
urn:cite:hmt:gen44.71v,142,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 71v",urn:cite:ecod:gen44.gen44_142
urn:cite:hmt:gen44.72r,143,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 72r",urn:cite:ecod:gen44.gen44_143
urn:cite:hmt:gen44.72v,144,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 72v",urn:cite:ecod:gen44.gen44_144
urn:cite:hmt:gen44.73r,145,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 73r",urn:cite:ecod:gen44.gen44_145
urn:cite:hmt:gen44.73v,146,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 73v",urn:cite:ecod:gen44.gen44_146
urn:cite:hmt:gen44.74r,147,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 74r",urn:cite:ecod:gen44.gen44_147
urn:cite:hmt:gen44.74v,148,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 74v",urn:cite:ecod:gen44.gen44_148
urn:cite:hmt:gen44.75r,149,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 75r",urn:cite:ecod:gen44.gen44_149
urn:cite:hmt:gen44.75v,150,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 75v",urn:cite:ecod:gen44.gen44_150
urn:cite:hmt:gen44.76r,151,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 76r",urn:cite:ecod:gen44.gen44_151
urn:cite:hmt:gen44.76v,152,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 76v",urn:cite:ecod:gen44.gen44_152
urn:cite:hmt:gen44.77r,153,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 77r",urn:cite:ecod:gen44.gen44_153
urn:cite:hmt:gen44.77v,154,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 77v",urn:cite:ecod:gen44.gen44_154
urn:cite:hmt:gen44.78r,155,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 78r",urn:cite:ecod:gen44.gen44_155
urn:cite:hmt:gen44.78v,156,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 78v",urn:cite:ecod:gen44.gen44_156
urn:cite:hmt:gen44.79r,157,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 79r",urn:cite:ecod:gen44.gen44_157
urn:cite:hmt:gen44.79v,158,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 79v",urn:cite:ecod:gen44.gen44_158
urn:cite:hmt:gen44.80r,159,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 80r",urn:cite:ecod:gen44.gen44_159
urn:cite:hmt:gen44.80v,160,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 80v",urn:cite:ecod:gen44.gen44_160
urn:cite:hmt:gen44.81r,161,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 81r",urn:cite:ecod:gen44.gen44_161
urn:cite:hmt:gen44.81v,162,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 81v",urn:cite:ecod:gen44.gen44_162
urn:cite:hmt:gen44.82r,163,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 82r",urn:cite:ecod:gen44.gen44_163
urn:cite:hmt:gen44.82v,164,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 82v",urn:cite:ecod:gen44.gen44_164
urn:cite:hmt:gen44.83r,165,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 83r",urn:cite:ecod:gen44.gen44_165
urn:cite:hmt:gen44.83v,166,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 83v",urn:cite:ecod:gen44.gen44_166
urn:cite:hmt:gen44.84r,167,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 84r",urn:cite:ecod:gen44.gen44_167
urn:cite:hmt:gen44.84v,168,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 84v",urn:cite:ecod:gen44.gen44_168
urn:cite:hmt:gen44.85r,169,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 85r",urn:cite:ecod:gen44.gen44_169
urn:cite:hmt:gen44.85v,170,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 85v",urn:cite:ecod:gen44.gen44_170
urn:cite:hmt:gen44.86r,171,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 86r",urn:cite:ecod:gen44.gen44_171
urn:cite:hmt:gen44.86v,172,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 86v",urn:cite:ecod:gen44.gen44_172
urn:cite:hmt:gen44.87r,173,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 87r",urn:cite:ecod:gen44.gen44_173
urn:cite:hmt:gen44.87v,174,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 87v",urn:cite:ecod:gen44.gen44_174
urn:cite:hmt:gen44.88r,175,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 88r",urn:cite:ecod:gen44.gen44_175
urn:cite:hmt:gen44.88v,176,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 88v",urn:cite:ecod:gen44.gen44_176
urn:cite:hmt:gen44.89r,177,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 89r",urn:cite:ecod:gen44.gen44_177
urn:cite:hmt:gen44.89v,178,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 89v",urn:cite:ecod:gen44.gen44_178
urn:cite:hmt:gen44.90r,179,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 90r",urn:cite:ecod:gen44.gen44_179
urn:cite:hmt:gen44.90v,180,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 90v",urn:cite:ecod:gen44.gen44_180
urn:cite:hmt:gen44.91r,181,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 91r",urn:cite:ecod:gen44.gen44_181
urn:cite:hmt:gen44.91v,182,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 91v",urn:cite:ecod:gen44.gen44_182
urn:cite:hmt:gen44.92r,183,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 92r",urn:cite:ecod:gen44.gen44_183
urn:cite:hmt:gen44.92v,184,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 92v",urn:cite:ecod:gen44.gen44_184
urn:cite:hmt:gen44.93r,185,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 93r",urn:cite:ecod:gen44.gen44_185
urn:cite:hmt:gen44.93v,186,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 93v",urn:cite:ecod:gen44.gen44_186
urn:cite:hmt:gen44.94r,187,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 94r",urn:cite:ecod:gen44.gen44_187
urn:cite:hmt:gen44.94v,188,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 94v",urn:cite:ecod:gen44.gen44_188
urn:cite:hmt:gen44.95r,189,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 95r",urn:cite:ecod:gen44.gen44_189
urn:cite:hmt:gen44.95v,190,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 95v",urn:cite:ecod:gen44.gen44_190
urn:cite:hmt:gen44.96r,191,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 96r",urn:cite:ecod:gen44.gen44_191
urn:cite:hmt:gen44.96v,192,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 96v",urn:cite:ecod:gen44.gen44_192
urn:cite:hmt:gen44.97r,193,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 97r",urn:cite:ecod:gen44.gen44_193
urn:cite:hmt:gen44.97v,194,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 97v",urn:cite:ecod:gen44.gen44_194
urn:cite:hmt:gen44.98r,195,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 98r",urn:cite:ecod:gen44.gen44_195
urn:cite:hmt:gen44.98v,196,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 98v",urn:cite:ecod:gen44.gen44_196
urn:cite:hmt:gen44.99r,197,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 99r",urn:cite:ecod:gen44.gen44_197
urn:cite:hmt:gen44.99v,198,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 99v",urn:cite:ecod:gen44.gen44_198
urn:cite:hmt:gen44.100r,199,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 100r",urn:cite:ecod:gen44.gen44_199
urn:cite:hmt:gen44.100v,200,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 100v",urn:cite:ecod:gen44.gen44_200
urn:cite:hmt:gen44.101r,201,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 101r",urn:cite:ecod:gen44.gen44_201
urn:cite:hmt:gen44.101v,202,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 101v",urn:cite:ecod:gen44.gen44_202
urn:cite:hmt:gen44.102r,203,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 102r",urn:cite:ecod:gen44.gen44_203
urn:cite:hmt:gen44.102v,204,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 102v",urn:cite:ecod:gen44.gen44_204
urn:cite:hmt:gen44.103r,205,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 103r",urn:cite:ecod:gen44.gen44_205
urn:cite:hmt:gen44.103v,206,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 103v",urn:cite:ecod:gen44.gen44_206
urn:cite:hmt:gen44.104r,207,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 104r",urn:cite:ecod:gen44.gen44_207
urn:cite:hmt:gen44.104v,208,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 104v",urn:cite:ecod:gen44.gen44_208
urn:cite:hmt:gen44.105r,209,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 105r",urn:cite:ecod:gen44.gen44_209
urn:cite:hmt:gen44.105v,210,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 105v",urn:cite:ecod:gen44.gen44_210
urn:cite:hmt:gen44.106r,211,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 106r",urn:cite:ecod:gen44.gen44_211
urn:cite:hmt:gen44.106v,212,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 106v",urn:cite:ecod:gen44.gen44_212
urn:cite:hmt:gen44.107r,213,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 107r",urn:cite:ecod:gen44.gen44_213
urn:cite:hmt:gen44.107v,214,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 107v",urn:cite:ecod:gen44.gen44_214
urn:cite:hmt:gen44.108r,215,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 108r",urn:cite:ecod:gen44.gen44_215
urn:cite:hmt:gen44.108v,216,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 108v",urn:cite:ecod:gen44.gen44_216
urn:cite:hmt:gen44.109r,217,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 109r",urn:cite:ecod:gen44.gen44_217
urn:cite:hmt:gen44.109v,218,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 109v",urn:cite:ecod:gen44.gen44_218
urn:cite:hmt:gen44.110r,219,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 110r",urn:cite:ecod:gen44.gen44_219
urn:cite:hmt:gen44.110v,220,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 110v",urn:cite:ecod:gen44.gen44_220
urn:cite:hmt:gen44.111r,221,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 111r",urn:cite:ecod:gen44.gen44_221
urn:cite:hmt:gen44.111v,222,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 111v",urn:cite:ecod:gen44.gen44_222
urn:cite:hmt:gen44.112r,223,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 112r",urn:cite:ecod:gen44.gen44_223
urn:cite:hmt:gen44.112v,224,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 112v",urn:cite:ecod:gen44.gen44_224
urn:cite:hmt:gen44.113r,225,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 113r",urn:cite:ecod:gen44.gen44_225
urn:cite:hmt:gen44.113v,226,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 113v",urn:cite:ecod:gen44.gen44_226
urn:cite:hmt:gen44.114r,227,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 114r",urn:cite:ecod:gen44.gen44_227
urn:cite:hmt:gen44.114v,228,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 114v",urn:cite:ecod:gen44.gen44_228
urn:cite:hmt:gen44.115r,229,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 115r",urn:cite:ecod:gen44.gen44_229
urn:cite:hmt:gen44.115v,230,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 115v",urn:cite:ecod:gen44.gen44_230
urn:cite:hmt:gen44.116r,231,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 116r",urn:cite:ecod:gen44.gen44_231
urn:cite:hmt:gen44.116v,232,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 116v",urn:cite:ecod:gen44.gen44_232
urn:cite:hmt:gen44.117r,233,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 117r",urn:cite:ecod:gen44.gen44_233
urn:cite:hmt:gen44.117v,234,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 117v",urn:cite:ecod:gen44.gen44_234
urn:cite:hmt:gen44.118r,235,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 118r",urn:cite:ecod:gen44.gen44_235
urn:cite:hmt:gen44.118v,236,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 118v",urn:cite:ecod:gen44.gen44_236
urn:cite:hmt:gen44.119r,237,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 119r",urn:cite:ecod:gen44.gen44_237
urn:cite:hmt:gen44.119v,238,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 119v",urn:cite:ecod:gen44.gen44_238
urn:cite:hmt:gen44.120r,239,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 120r",urn:cite:ecod:gen44.gen44_239
urn:cite:hmt:gen44.120v,240,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 120v",urn:cite:ecod:gen44.gen44_240
urn:cite:hmt:gen44.121r,241,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 121r",urn:cite:ecod:gen44.gen44_241
urn:cite:hmt:gen44.121v,242,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 121v",urn:cite:ecod:gen44.gen44_242
urn:cite:hmt:gen44.122r,243,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 122r",urn:cite:ecod:gen44.gen44_243
urn:cite:hmt:gen44.122v,244,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 122v",urn:cite:ecod:gen44.gen44_244
urn:cite:hmt:gen44.123r,245,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 123r",urn:cite:ecod:gen44.gen44_245
urn:cite:hmt:gen44.123v,246,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 123v",urn:cite:ecod:gen44.gen44_246
urn:cite:hmt:gen44.124r,247,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 124r",urn:cite:ecod:gen44.gen44_247
urn:cite:hmt:gen44.124v,248,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 124v",urn:cite:ecod:gen44.gen44_248
