Folio,Sequence,RV,Label,DefaultImage
urn:cite:hmt:gen44.147r,293,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 147r",urn:cite:ecod:gen44.gen44_293
urn:cite:hmt:gen44.147v,294,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 147v",urn:cite:ecod:gen44.gen44_294
urn:cite:hmt:gen44.148r,295,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 148r",urn:cite:ecod:gen44.gen44_295
urn:cite:hmt:gen44.148v,296,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 148v",urn:cite:ecod:gen44.gen44_296
urn:cite:hmt:gen44.149r,297,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 149r",urn:cite:ecod:gen44.gen44_297
urn:cite:hmt:gen44.149v,298,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 149v",urn:cite:ecod:gen44.gen44_298
urn:cite:hmt:gen44.150r,299,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 150r",urn:cite:ecod:gen44.gen44_299
urn:cite:hmt:gen44.150v,300,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 150v",urn:cite:ecod:gen44.gen44_300
urn:cite:hmt:gen44.151r,301,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 151r",urn:cite:ecod:gen44.gen44_301
urn:cite:hmt:gen44.151v,302,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 151v",urn:cite:ecod:gen44.gen44_302
urn:cite:hmt:gen44.152r,303,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 152r",urn:cite:ecod:gen44.gen44_303
urn:cite:hmt:gen44.152v,304,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 152v",urn:cite:ecod:gen44.gen44_304
urn:cite:hmt:gen44.153r,305,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 153r",urn:cite:ecod:gen44.gen44_305
urn:cite:hmt:gen44.153v,306,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 153v",urn:cite:ecod:gen44.gen44_306
urn:cite:hmt:gen44.154r,307,recto,"Bibliothèque de Genève, Ms. gr. 44, folio 154r",urn:cite:ecod:gen44.gen44_307
urn:cite:hmt:gen44.154v,308,verso,"Bibliothèque de Genève, Ms. gr. 44, folio 154v",urn:cite:ecod:gen44.gen44_308




